,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Lorengau,PG,-2.0226,147.2712,80.91,79,98,2.39,overcast clouds
115,Siavonga,ZM,-16.5382,28.7088,78.17,42,20,6.91,few clouds
116,Juegang,CN,32.3174,121.1855,55.72,90,25,6.58,scattered clouds
117,Nara,JP,34.6851,135.8049,42.08,64,36,2.71,scattered clouds
118,Shenjiamen,CN,29.9576,122.298,61.34,89,100,7.85,overcast clouds
119,Haines Junction,CA,60.7522,-137.5108,-3.95,97,100,1.23,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,0,24.16,clear sky
121,Doha,QA,25.2867,51.5333,71.58,48,0,8.05,clear sky
122,Kesova Gora,RU,57.5836,37.2922,32.22,95,100,4.83,overcast clouds
123,Hastinapur,IN,29.1667,78.0167,59.41,44,0,4.68,clear sky
124,Marovoay,MG,-16.1,46.6333,80.74,92,34,2.53,moderate rain
125,Kyshtovka,RU,56.555,76.6271,11.7,96,76,7.25,broken clouds
126,Saint George,US,37.1041,-113.5841,75.67,23,1,0.0,clear sky
127,Aklavik,CA,68.2191,-135.0107,-12.17,70,40,16.11,scattered clouds
128,Hithadhoo,MV,-0.6,73.0833,81.37,75,66,17.43,broken clouds
129,Saldanha,ZA,-33.0117,17.9442,64.45,85,26,5.35,scattered clouds
130,Muyezerskiy,RU,63.9333,31.65,4.21,99,98,3.15,overcast clouds
131,Cherskiy,RU,68.75,161.3,-11.42,99,100,6.53,overcast clouds
132,Bury,GB,53.6,-2.3,31.21,89,41,3.27,scattered clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,20,6.91,few clouds
134,Antonina,BR,-25.4286,-48.7119,94.68,81,100,3.09,overcast clouds
135,Rawson,AR,-43.3002,-65.1023,75.24,25,65,11.7,broken clouds
136,Astana,KZ,51.1801,71.446,-0.45,85,61,6.71,broken clouds
137,Port Alfred,ZA,-33.5906,26.891,66.2,80,6,10.4,clear sky
138,Chiang Khong,TH,20.2613,100.4046,62.92,89,42,2.35,scattered clouds
139,Agboville,CI,5.928,-4.2132,75.72,93,29,3.22,scattered clouds
140,Filadelfia,US,39.9523,-75.1638,53.74,44,40,9.22,scattered clouds
141,Mahon,ES,39.8885,4.2658,46.96,81,20,11.5,few clouds
142,Alice,US,27.7523,-98.0697,71.49,56,1,12.66,clear sky
143,Cabo San Lucas,MX,22.8909,-109.9124,79.9,65,90,0.0,overcast clouds
144,Airai,TL,-8.9266,125.4092,60.44,89,100,1.5,overcast clouds
145,De Aar,ZA,-30.6497,24.0123,65.71,48,1,7.16,clear sky
146,Puerto Penasco,MX,31.3167,-113.5333,75.76,35,0,8.75,clear sky
147,Chimbote,PE,-9.0853,-78.5783,69.12,79,100,9.35,overcast clouds
148,Bongor,TD,10.2806,15.3722,79.32,16,26,6.17,scattered clouds
149,Rust,DE,48.2667,7.7333,35.85,98,100,1.48,light rain
150,Tasiilaq,GL,65.6145,-37.6368,26.76,96,97,2.39,overcast clouds
151,Krasnoselkup,RU,65.7,82.4667,-19.01,100,73,5.26,broken clouds
152,Kampot,KH,10.6167,104.1833,76.6,83,100,12.97,overcast clouds
153,Semnan,IR,35.5729,53.3971,46.8,56,1,2.39,clear sky
